"time","latitude","longitude","analysed_sst","siteid"
"2024-01-09T09:00:00Z",34.38,-119.73,14.056,"MOHK"
"2024-01-09T09:00:00Z",34.38,-119.72,14.112,"MOHK"
"2024-01-09T09:00:00Z",34.39,-119.74,13.976,"MOHK"
"2024-01-09T09:00:00Z",34.39,-119.73,14.015,"MOHK"
"2024-01-09T09:00:00Z",34.39,-119.72,14.062,"MOHK"
"2024-01-09T09:00:00Z",34.4,-119.74,NaN,"MOHK"
"2024-01-09T09:00:00Z",34.4,-119.73,NaN,"MOHK"
"2024-01-09T09:00:00Z",34.4,-119.72,NaN,"MOHK"
"2024-01-10T09:00:00Z",34.38,-119.74,14.191,"MOHK"
"2024-01-10T09:00:00Z",34.38,-119.73,14.177,"MOHK"
"2024-01-10T09:00:00Z",34.38,-119.72,14.16,"MOHK"
"2024-01-10T09:00:00Z",34.39,-119.74,14.117,"MOHK"
"2024-01-10T09:00:00Z",34.39,-119.73,14.103,"MOHK"
"2024-01-10T09:00:00Z",34.39,-119.72,14.085,"MOHK"
"2024-01-10T09:00:00Z",34.4,-119.74,NaN,"MOHK"
"2024-01-10T09:00:00Z",34.4,-119.73,NaN,"MOHK"
"2024-01-10T09:00:00Z",34.4,-119.72,NaN,"MOHK"
"2024-01-11T09:00:00Z",34.38,-119.74,13.727,"MOHK"
"2024-01-11T09:00:00Z",34.38,-119.73,13.697,"MOHK"
"2024-01-11T09:00:00Z",34.38,-119.72,13.673,"MOHK"
"2024-01-11T09:00:00Z",34.39,-119.74,13.709,"MOHK"
"2024-01-11T09:00:00Z",34.39,-119.73,13.675,"MOHK"
"2024-01-11T09:00:00Z",34.39,-119.72,13.646,"MOHK"
"2024-01-11T09:00:00Z",34.4,-119.74,NaN,"MOHK"
"2024-01-11T09:00:00Z",34.4,-119.73,NaN,"MOHK"
"2024-01-11T09:00:00Z",34.4,-119.72,NaN,"MOHK"
